model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,seating_capacity,ground_clearance,boot_space
Nissan GT-R,Deep Blue Metallic,Oil,Automatic,126855.42,2023-07-22,2023-09-10,New Jersey,276.3,6,156.1,625
Bugatti Chiron,Midnight Silver Metallic,Oil,Automatic,2816600.89,2024-01-31,2024-04-09,France,359.2,6,141.2,626
Lexus LC 500,Stealth Grey,Diesel,Automatic,98247.65,2025-05-05,2025-06-02,Nevada,310.9,6,167.1,504
Pagani Huayra,Stealth Grey,Diesel,Automatic,2953206.15,2023-08-20,2023-09-06,New Jersey,339.5,6,169.0,525
Lotus Emira,Solid Black,Oil,Automatic,87765.99,2024-09-09,2024-10-04,Washington,265.0,6,167.2,500
Pagani Huayra,Midnight Silver Metallic,Diesel,Automatic,2912454.96,2023-07-10,2023-08-26,Maryland,373.7,6,166.8,517
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,78655.86,2024-08-02,2024-09-26,South Korea,275.2,6,159.1,568
Maserati Ghibli,Midnight Silver Metallic,Diesel,Automatic,94553.02,2024-02-22,2024-02-26,New York,292.9,6,166.3,436
Audi RS7,Midnight Silver Metallic,Diesel,Automatic,120444.38,2023-12-07,2024-01-22,New Jersey,288.0,6,145.9,584
Porsche Cayman GT4,Ultra Red,Oil,Automatic,108034.58,2024-06-23,2024-07-22,China,262.9,6,145.7,606
Maserati MC20,Pearl White,Oil,Automatic,269950.57,2024-01-31,2024-02-14,Colorado,333.5,6,163.8,496
Bentley Continental GT,Pearl White,Diesel,Automatic,269465.92,2023-10-11,2023-11-05,Japan,283.9,6,141.9,542
Jaguar F-Type,Stealth Grey,Oil,Automatic,80593.32,2024-03-07,2024-03-21,Japan,273.3,6,164.3,586
Bugatti Chiron,Ultra Red,Diesel,Automatic,2515661.74,2024-10-17,2024-11-24,Japan,354.9,6,141.4,540
McLaren 720S,Pearl White,Oil,Automatic,302984.94,2024-05-04,2024-07-19,South Korea,346.6,6,155.7,462
Lamborghini Huracán,Deep Blue Metallic,Diesel,Automatic,203275.71,2024-11-07,2025-01-07,Washington,320.3,6,158.1,568
Ferrari SF90,Midnight Silver Metallic,Oil,Automatic,489041.8,2023-07-15,2023-09-11,Colorado,341.6,6,146.8,601
Porsche 911,Red Multi-Coat,Oil,Automatic,131989.63,2024-05-22,2024-06-05,Colorado,349.4,6,167.2,444
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,295932.62,2025-04-28,2025-05-10,Washington,338.5,6,140.4,540
Bugatti Chiron,Ultra Red,Diesel,Automatic,2508600.05,2025-04-03,2025-07-02,Japan,382.1,6,159.1,560
Maserati Ghibli,Pearl White,Oil,Automatic,85938.13,2025-02-12,2025-04-21,China,281.5,6,143.7,557
McLaren 720S,Red Multi-Coat,Oil,Automatic,336221.45,2023-07-26,2023-10-22,Nevada,329.0,6,145.4,556
Porsche 911,Ultra Red,Oil,Automatic,186294.97,2023-10-10,2023-12-19,Nevada,343.3,6,166.6,441
Maserati MC20,Midnight Silver Metallic,Oil,Automatic,269076.81,2024-07-29,2024-10-21,New Jersey,326.9,6,164.2,429
Jaguar F-Type,Red Multi-Coat,Diesel,Automatic,88189.71,2025-02-23,2025-03-28,Washington,302.0,6,163.6,596
Audi RS e-tron GT,Solid Black,Oil,Automatic,172000.18,2025-01-10,2025-04-10,Italy,410.7,6,167.4,629
Maserati MC20,Ultra Red,Oil,Automatic,263534.29,2023-12-17,2024-03-14,China,313.1,6,143.1,536
Lamborghini Huracán,Stealth Grey,Oil,Automatic,240384.83,2024-02-22,2024-03-01,Washington,311.5,6,161.9,573
McLaren 720S,Midnight Silver Metallic,Diesel,Automatic,280006.86,2024-03-26,2024-05-15,South Korea,339.4,6,145.2,566
Audi RS7,Pearl White,Diesel,Automatic,144149.66,2024-08-21,2024-10-23,New York,304.1,6,155.1,490
Aston Martin Vantage,Midnight Silver Metallic,Diesel,Automatic,158395.83,2024-08-22,2024-10-29,China,280.6,6,151.6,544
Audi RS7,Red Multi-Coat,Oil,Automatic,135342.52,2025-01-14,2025-03-13,Nevada,275.7,6,162.2,642
Audi RS e-tron GT,Solid Black,Oil,Automatic,160638.89,2024-05-28,2024-07-19,Italy,381.1,6,158.0,484
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,111807.23,2023-07-08,2023-10-01,Washington,267.8,6,142.5,538
Audi RS7,Deep Blue Metallic,Diesel,Automatic,121648.41,2023-12-06,2023-12-26,German,265.2,6,158.4,563
Maserati Ghibli,Deep Blue Metallic,Diesel,Automatic,76194.9,2023-12-27,2024-03-17,Virginia,255.1,6,140.3,619
Audi RS7,Deep Blue Metallic,Diesel,Automatic,137614.82,2025-03-01,2025-04-11,Nevada,267.9,6,148.2,478
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,106824.01,2024-01-03,2024-01-15,Japan,244.5,6,146.3,532
Range Rover Sport,Stealth Grey,Diesel,Automatic,83795.21,2024-02-16,2024-04-09,France,254.9,6,167.9,644
Koenigsegg Jesko,Pearl White,Diesel,Automatic,3295898.77,2025-05-09,2025-08-07,Connecticut,394.6,6,168.5,546
Ferrari SF90,Solid Black,Oil,Automatic,517471.66,2024-05-11,2024-05-24,France,349.0,6,158.9,510
Maserati MC20,Solid Black,Diesel,Automatic,276079.31,2023-12-21,2023-12-27,Washington,362.0,6,152.1,445
Maserati MC20,Pearl White,Oil,Automatic,241953.25,2025-04-08,2025-05-17,China,364.5,6,148.2,605
Bugatti Chiron,Deep Blue Metallic,Oil,Automatic,2763999.72,2024-01-14,2024-02-17,New Jersey,402.8,6,160.1,492
Jaguar F-Type,Pearl White,Diesel,Automatic,79565.77,2025-04-29,2025-07-09,Italy,274.2,6,162.5,605
Bentley Continental GT,Ultra Red,Oil,Automatic,278839.08,2024-08-30,2024-11-14,Japan,347.5,6,144.9,541
Rolls-Royce Ghost,Midnight Silver Metallic,Diesel,Automatic,383702.56,2025-05-18,2025-06-02,China,322.2,6,146.1,605
Jaguar F-Type,Solid Black,Oil,Automatic,82966.62,2024-04-13,2024-05-29,Maryland,266.0,6,166.1,503
Lotus Emira,Pearl White,Oil,Automatic,89646.53,2024-08-25,2024-09-18,Nevada,260.2,6,141.9,508
Ferrari SF90,Midnight Silver Metallic,Diesel,Automatic,540189.77,2025-01-17,2025-03-06,Nevada,379.7,6,151.7,619
Lotus Emira,Deep Blue Metallic,Diesel,Automatic,104377.61,2024-10-31,2025-01-01,Massachusetts,252.1,6,162.8,459
Lotus Emira,Deep Blue Metallic,Oil,Automatic,103039.36,2024-04-21,2024-05-22,Massachusetts,272.5,6,152.2,619
Rolls-Royce Ghost,Solid Black,Oil,Automatic,370160.74,2024-04-28,2024-05-04,South Korea,326.6,6,151.3,435
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,105297.33,2023-07-01,2023-08-20,Japan,282.2,6,168.8,451
Koenigsegg Jesko,Ultra Red,Diesel,Automatic,3337685.57,2025-02-11,2025-04-28,German,367.5,6,143.2,526
BMW M5 CS,Deep Blue Metallic,Diesel,Automatic,151551.13,2024-11-03,2024-12-23,Nevada,297.0,6,156.0,610
Lotus Emira,Ultra Red,Oil,Automatic,94835.48,2024-02-08,2024-03-14,Japan,264.3,6,140.4,558
Nissan GT-R,Deep Blue Metallic,Oil,Automatic,120814.28,2024-11-04,2024-12-13,Connecticut,281.5,6,154.8,551
Ferrari SF90,Ultra Red,Diesel,Automatic,464562.6,2023-12-29,2024-01-07,Japan,355.4,6,162.2,639
Lotus Emira,Solid Black,Diesel,Automatic,86502.69,2023-12-03,2024-02-03,China,227.4,6,151.2,631
Nissan GT-R,Solid Black,Oil,Automatic,136206.3,2025-01-02,2025-03-08,Colorado,311.2,6,158.9,472
Lotus Emira,Solid Black,Diesel,Automatic,103031.38,2024-01-19,2024-03-04,Nevada,243.9,6,147.1,442
Rolls-Royce Ghost,Pearl White,Oil,Automatic,387024.41,2023-08-23,2023-08-26,New Jersey,371.3,6,160.0,459
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,162611.59,2024-06-22,2024-09-11,Japan,355.1,6,140.5,631
Alpine A110,Red Multi-Coat,Diesel,Automatic,80217.3,2024-11-17,2025-02-07,South Korea,205.1,6,153.0,486
Aston Martin Vantage,Stealth Grey,Oil,Automatic,161372.89,2025-05-22,2025-06-30,China,309.7,6,158.4,453
Lamborghini Huracán,Ultra Red,Diesel,Automatic,243269.86,2024-12-12,2025-01-23,Connecticut,321.9,6,156.1,465
Porsche Cayman GT4,Midnight Silver Metallic,Oil,Automatic,115798.82,2024-08-18,2024-09-23,Massachusetts,270.3,6,167.0,634
Lotus Emira,Deep Blue Metallic,Oil,Automatic,101583.47,2024-01-22,2024-03-28,Colorado,227.6,6,143.2,487
Bugatti Chiron,Red Multi-Coat,Oil,Automatic,2522154.58,2023-09-26,2023-10-15,New Jersey,388.0,6,165.1,571
Alpine A110,Stealth Grey,Diesel,Automatic,79809.26,2025-05-17,2025-05-28,Virginia,215.5,6,162.6,487
Bentley Continental GT,Deep Blue Metallic,Diesel,Automatic,256620.82,2024-09-02,2024-09-06,Italy,324.1,6,151.9,548
Aston Martin Vantage,Red Multi-Coat,Oil,Automatic,169295.86,2024-09-19,2024-11-10,Japan,316.3,6,153.2,499
Mercedes-AMG GT,Midnight Silver Metallic,Diesel,Automatic,146784.31,2025-01-12,2025-03-25,Nevada,298.6,6,159.0,495
BMW M8,Solid Black,Diesel,Automatic,143293.66,2024-01-08,2024-03-18,Japan,318.8,6,148.7,526
Pagani Huayra,Midnight Silver Metallic,Diesel,Automatic,3173980.72,2025-01-08,2025-02-17,Maryland,375.6,6,148.7,493
Mercedes-AMG GT,Deep Blue Metallic,Diesel,Automatic,141740.65,2024-09-23,2024-10-15,New York,318.0,6,161.0,494
Maserati MC20,Ultra Red,Diesel,Automatic,258408.88,2024-12-06,2025-01-14,France,343.4,6,148.7,634
Audi RS7,Ultra Red,Oil,Automatic,142822.64,2023-08-19,2023-10-26,China,301.1,6,151.4,501
Aston Martin Vantage,Red Multi-Coat,Oil,Automatic,156976.73,2023-10-03,2023-11-21,France,304.3,6,164.8,439
BMW M8,Deep Blue Metallic,Diesel,Automatic,153440.99,2025-04-07,2025-06-25,France,323.3,6,156.7,623
Audi RS7,Midnight Silver Metallic,Diesel,Automatic,146830.91,2024-02-26,2024-05-24,Washington,298.2,6,140.2,551
Porsche 911,Red Multi-Coat,Diesel,Automatic,195160.18,2023-09-20,2023-12-02,Washington,307.5,6,145.2,450
Rolls-Royce Ghost,Pearl White,Diesel,Automatic,433452.46,2023-06-03,2023-07-13,Italy,372.1,6,149.0,607
Porsche Cayman GT4,Pearl White,Oil,Automatic,108170.88,2024-04-28,2024-07-04,Washington,268.2,6,163.3,588
Aston Martin Vantage,Midnight Silver Metallic,Diesel,Automatic,174334.27,2023-06-21,2023-07-20,New Jersey,274.2,6,140.3,574
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,92896.81,2025-04-14,2025-07-12,Maryland,291.0,6,142.0,468
Lotus Emira,Midnight Silver Metallic,Oil,Automatic,98384.46,2024-03-31,2024-04-24,Japan,273.2,6,154.9,516
Lexus LC 500,Ultra Red,Diesel,Automatic,116447.96,2023-06-03,2023-08-02,New York,300.2,6,156.2,566
Range Rover Sport,Solid Black,Diesel,Automatic,122589.39,2023-10-01,2023-11-29,China,290.8,6,146.8,429
Maserati Ghibli,Stealth Grey,Diesel,Automatic,86982.08,2025-03-03,2025-03-28,Colorado,295.0,6,169.2,461
Audi RS7,Pearl White,Oil,Automatic,149396.82,2024-11-05,2024-12-24,Nevada,294.2,6,144.7,522
Rolls-Royce Ghost,Deep Blue Metallic,Oil,Automatic,447595.8,2024-11-03,2024-12-18,Massachusetts,377.9,6,162.0,454
BMW M5 CS,Ultra Red,Oil,Automatic,151724.53,2023-11-04,2024-01-11,Washington,272.0,6,160.6,536
Aston Martin Vantage,Ultra Red,Diesel,Automatic,154229.74,2024-01-07,2024-02-28,France,313.9,6,144.0,442
BMW M8,Ultra Red,Oil,Automatic,154731.78,2023-09-04,2023-10-15,Italy,327.4,6,150.7,509
Lexus LC 500,Pearl White,Diesel,Automatic,112391.04,2023-07-28,2023-08-05,Italy,324.3,6,161.1,594
Audi RS e-tron GT,Solid Black,Oil,Automatic,165300.37,2024-02-16,2024-02-20,Maryland,397.6,6,147.2,428
Maserati MC20,Solid Black,Diesel,Automatic,255515.87,2023-08-08,2023-10-21,South Korea,311.0,6,154.9,596
Maserati Ghibli,Red Multi-Coat,Diesel,Automatic,82348.29,2023-07-06,2023-08-22,Japan,261.9,6,150.9,437
Aston Martin DBS,Solid Black,Oil,Automatic,376363.98,2024-08-18,2024-09-23,New Jersey,314.9,6,141.5,458
Pagani Huayra,Red Multi-Coat,Oil,Automatic,3029900.74,2024-06-30,2024-07-27,Colorado,351.9,6,167.8,576
Koenigsegg Jesko,Red Multi-Coat,Diesel,Automatic,3025439.97,2024-07-09,2024-09-25,Italy,379.5,6,158.0,447
Jaguar F-Type,Ultra Red,Diesel,Automatic,93203.66,2023-07-14,2023-10-03,Virginia,292.3,6,150.5,524
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3273692.16,2025-04-15,2025-07-01,Washington,352.6,6,157.8,449
Range Rover Sport,Stealth Grey,Diesel,Automatic,110361.16,2025-03-22,2025-06-18,Colorado,277.9,6,160.6,557
Bugatti Chiron,Solid Black,Oil,Automatic,2803449.32,2023-10-20,2023-12-09,Italy,415.7,6,153.2,623
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,230700.74,2024-08-20,2024-10-01,Connecticut,315.8,6,151.8,447
Alpine A110,Stealth Grey,Oil,Automatic,79306.92,2023-12-08,2024-01-01,Massachusetts,208.0,6,168.2,528
BMW M8,Red Multi-Coat,Diesel,Automatic,152810.16,2025-05-06,2025-05-25,Japan,342.8,6,156.4,516
BMW M8,Red Multi-Coat,Oil,Automatic,146474.3,2024-10-15,2025-01-07,New York,293.3,6,145.5,480
Pagani Huayra,Deep Blue Metallic,Diesel,Automatic,3131276.78,2023-08-08,2023-10-02,South Korea,355.8,6,144.2,617
Audi RS7,Red Multi-Coat,Oil,Automatic,129937.2,2024-12-30,2025-01-16,New York,298.3,6,140.2,560
Maserati MC20,Ultra Red,Diesel,Automatic,236298.61,2024-01-09,2024-02-03,China,368.2,6,141.5,445
Aston Martin DBS,Pearl White,Diesel,Automatic,379441.96,2023-08-23,2023-10-22,Nevada,307.2,6,142.3,626
Maserati MC20,Pearl White,Diesel,Automatic,261597.16,2024-07-06,2024-07-15,Italy,315.7,6,165.5,480
Aston Martin Vantage,Midnight Silver Metallic,Diesel,Automatic,175384.78,2024-12-23,2025-02-27,Italy,302.9,6,160.8,483
Aston Martin Vantage,Pearl White,Diesel,Automatic,164502.87,2024-05-27,2024-07-25,Maryland,278.0,6,151.2,489
McLaren 720S,Pearl White,Oil,Automatic,319712.97,2023-11-06,2024-01-19,New York,338.0,6,143.5,544
Audi RS e-tron GT,Ultra Red,Oil,Automatic,164904.59,2023-06-27,2023-07-31,Colorado,347.1,6,151.5,438
Ferrari SF90,Midnight Silver Metallic,Diesel,Automatic,469302.22,2024-10-05,2024-12-26,Italy,349.8,6,145.4,583
Lotus Emira,Midnight Silver Metallic,Diesel,Automatic,103759.93,2025-04-30,2025-07-25,Maryland,265.7,6,146.5,524
Alpine A110,Deep Blue Metallic,Oil,Automatic,80209.39,2024-04-23,2024-07-02,Italy,187.6,6,157.0,546
BMW M8,Midnight Silver Metallic,Diesel,Automatic,141038.09,2023-11-23,2024-02-03,New Jersey,297.3,6,150.0,616
Lotus Emira,Deep Blue Metallic,Diesel,Automatic,103130.5,2023-08-10,2023-10-04,New York,244.3,6,147.4,601
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,515421.16,2024-06-20,2024-08-23,South Korea,362.3,6,153.4,480
Porsche Cayman GT4,Solid Black,Oil,Automatic,114676.59,2023-06-19,2023-09-06,China,265.2,6,169.1,628
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,106940.29,2025-04-29,2025-06-12,New York,329.9,6,143.3,457
Jaguar F-Type,Red Multi-Coat,Oil,Automatic,86756.63,2025-02-25,2025-02-28,Virginia,303.6,6,145.5,597
Maserati MC20,Solid Black,Oil,Automatic,278394.63,2023-10-17,2023-11-14,Italy,361.5,6,166.7,540
Alpine A110,Red Multi-Coat,Diesel,Automatic,81154.96,2024-04-25,2024-06-10,Massachusetts,206.8,6,150.2,579
Pagani Huayra,Stealth Grey,Diesel,Automatic,2859735.7,2023-12-27,2024-01-26,Maryland,357.3,6,167.5,444
Audi RS e-tron GT,Ultra Red,Oil,Automatic,176514.55,2024-05-21,2024-06-29,Italy,336.5,6,170.0,532
Aston Martin Vantage,Deep Blue Metallic,Diesel,Automatic,151867.7,2023-11-28,2024-02-26,France,302.0,6,167.9,610
Ferrari SF90,Deep Blue Metallic,Diesel,Automatic,468365.77,2024-05-27,2024-08-10,Massachusetts,343.8,6,141.6,500
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,223542.35,2023-06-05,2023-06-23,Virginia,321.1,6,154.8,640
McLaren 720S,Midnight Silver Metallic,Diesel,Automatic,343490.61,2024-05-20,2024-07-02,Connecticut,329.4,6,153.7,532
Lexus LC 500,Pearl White,Oil,Automatic,105578.01,2024-01-17,2024-03-08,Japan,281.5,6,163.0,488
Mercedes-AMG GT,Deep Blue Metallic,Diesel,Automatic,133028.58,2024-12-26,2025-03-03,New Jersey,280.6,6,155.9,493
Lamborghini Huracán,Deep Blue Metallic,Diesel,Automatic,273905.2,2023-06-09,2023-08-28,Virginia,294.3,6,153.0,475
BMW M5 CS,Midnight Silver Metallic,Oil,Automatic,155507.8,2024-07-31,2024-10-14,France,293.4,6,167.9,459
Nissan GT-R,Ultra Red,Oil,Automatic,143085.47,2025-03-22,2025-04-15,German,287.0,6,169.0,643
McLaren 720S,Midnight Silver Metallic,Oil,Automatic,338176.95,2023-08-25,2023-11-14,Maryland,334.9,6,142.6,532
Porsche 911,Red Multi-Coat,Diesel,Automatic,170016.02,2024-06-01,2024-07-18,China,295.7,6,160.5,627
Bentley Continental GT,Deep Blue Metallic,Oil,Automatic,266506.16,2024-05-12,2024-05-27,France,347.9,6,149.7,622
Aston Martin Vantage,Ultra Red,Diesel,Automatic,167826.53,2024-02-05,2024-02-28,Virginia,275.4,6,145.3,617
BMW M8,Ultra Red,Diesel,Automatic,135798.41,2024-09-20,2024-10-05,New York,322.8,6,158.4,628
Koenigsegg Jesko,Midnight Silver Metallic,Oil,Automatic,3098335.43,2024-03-19,2024-05-25,Maryland,345.8,6,169.0,547
Pagani Huayra,Deep Blue Metallic,Oil,Automatic,3129575.55,2024-07-02,2024-07-05,New York,358.3,6,161.8,502
Audi RS e-tron GT,Deep Blue Metallic,Diesel,Automatic,171878.75,2025-05-04,2025-05-26,Colorado,363.8,6,145.1,558
Maserati MC20,Pearl White,Diesel,Automatic,278379.02,2024-01-05,2024-02-17,Massachusetts,347.1,6,166.1,598
Lamborghini Huracán,Red Multi-Coat,Oil,Automatic,253958.15,2023-10-06,2023-12-28,New York,297.1,6,160.8,428
Rolls-Royce Ghost,Midnight Silver Metallic,Diesel,Automatic,394553.73,2025-04-08,2025-04-14,New York,374.4,6,140.6,502
Rolls-Royce Ghost,Deep Blue Metallic,Diesel,Automatic,423178.58,2023-07-25,2023-10-22,New Jersey,340.4,6,162.9,440
Audi RS7,Deep Blue Metallic,Diesel,Automatic,142592.14,2024-09-05,2024-09-20,Nevada,284.1,6,140.9,649
Aston Martin DBS,Midnight Silver Metallic,Oil,Automatic,336440.63,2025-03-14,2025-05-21,South Korea,316.1,6,140.1,596
Maserati MC20,Red Multi-Coat,Diesel,Automatic,246986.3,2024-08-20,2024-11-11,Italy,331.8,6,145.8,627
BMW M5 CS,Ultra Red,Oil,Automatic,140911.88,2024-04-18,2024-05-06,Connecticut,275.8,6,167.7,481
Koenigsegg Jesko,Red Multi-Coat,Oil,Automatic,3336205.66,2024-07-09,2024-09-02,Colorado,387.5,6,168.6,546
Koenigsegg Jesko,Deep Blue Metallic,Oil,Automatic,3369424.2,2023-11-13,2024-01-28,South Korea,341.4,6,140.8,509
Mercedes-AMG GT,Midnight Silver Metallic,Diesel,Automatic,120731.36,2023-12-01,2024-01-05,Italy,308.5,6,146.1,461
Aston Martin Vantage,Pearl White,Diesel,Automatic,154128.79,2025-03-16,2025-06-06,Colorado,292.3,6,165.9,500
Jaguar F-Type,Ultra Red,Diesel,Automatic,92648.23,2024-01-25,2024-02-06,Washington,299.4,6,143.9,618
Nissan GT-R,Red Multi-Coat,Oil,Automatic,143442.92,2023-08-25,2023-09-03,New York,307.8,6,145.7,550
Pagani Huayra,Pearl White,Oil,Automatic,2856011.82,2025-02-10,2025-03-30,New Jersey,345.9,6,157.5,463
Porsche 911,Midnight Silver Metallic,Oil,Automatic,181499.8,2023-09-16,2023-10-19,Nevada,289.7,6,143.4,468
Pagani Huayra,Red Multi-Coat,Oil,Automatic,2827692.78,2024-03-08,2024-03-11,New York,364.9,6,155.1,566
BMW M5 CS,Midnight Silver Metallic,Oil,Automatic,142054.44,2024-11-22,2024-12-31,South Korea,304.6,6,140.7,574
Porsche 911,Midnight Silver Metallic,Diesel,Automatic,176064.1,2025-04-07,2025-06-04,German,307.5,6,160.7,599
Nissan GT-R,Stealth Grey,Oil,Automatic,144303.3,2025-02-20,2025-04-14,Washington,299.0,6,161.0,485
Rolls-Royce Ghost,Deep Blue Metallic,Oil,Automatic,447564.63,2023-12-28,2024-02-22,Maryland,342.2,6,158.8,457
Maserati Ghibli,Red Multi-Coat,Oil,Automatic,83471.92,2024-09-28,2024-12-07,Washington,275.7,6,160.9,438
Porsche 911,Red Multi-Coat,Diesel,Automatic,174991.95,2023-10-27,2023-11-01,Massachusetts,311.4,6,149.3,524
Rolls-Royce Ghost,Pearl White,Diesel,Automatic,362731.52,2023-10-29,2023-12-19,Connecticut,364.6,6,142.1,563
Maserati MC20,Pearl White,Diesel,Automatic,265348.4,2023-08-23,2023-09-24,France,335.9,6,162.9,434
Bentley Continental GT,Ultra Red,Diesel,Automatic,265728.51,2024-10-12,2025-01-06,Maryland,331.9,6,168.5,442
Lamborghini Huracán,Red Multi-Coat,Oil,Automatic,200740.03,2024-04-28,2024-05-18,Virginia,312.8,6,142.4,503
Porsche 911,Pearl White,Oil,Automatic,132183.15,2023-12-04,2023-12-15,Massachusetts,321.4,6,151.9,563
Audi RS e-tron GT,Midnight Silver Metallic,Oil,Automatic,154594.01,2023-10-01,2023-12-03,Maryland,367.3,6,156.0,593
Alpine A110,Red Multi-Coat,Oil,Automatic,73766.05,2024-06-05,2024-07-26,Japan,214.1,6,156.4,481
Alpine A110,Red Multi-Coat,Oil,Automatic,79010.6,2024-02-03,2024-04-16,South Korea,188.2,6,162.2,431
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,165171.55,2024-04-23,2024-05-11,Connecticut,352.6,6,140.1,639
Range Rover Sport,Midnight Silver Metallic,Oil,Automatic,91794.02,2023-09-20,2023-10-09,Washington,261.3,6,163.8,556
Alpine A110,Midnight Silver Metallic,Oil,Automatic,74295.42,2024-06-10,2024-06-29,Washington,209.0,6,155.2,619
Porsche 911,Midnight Silver Metallic,Oil,Automatic,179054.56,2023-10-26,2023-11-07,New Jersey,292.1,6,153.2,566
Koenigsegg Jesko,Red Multi-Coat,Oil,Automatic,3352320.74,2023-12-30,2024-03-08,German,348.6,6,164.6,560
Bugatti Chiron,Pearl White,Oil,Automatic,2663745.97,2023-12-28,2024-01-20,Japan,386.8,6,166.0,578
BMW M5 CS,Red Multi-Coat,Oil,Automatic,145109.76,2023-06-21,2023-09-02,Virginia,271.5,6,146.8,626
Lamborghini Huracán,Ultra Red,Diesel,Automatic,241620.57,2024-11-15,2025-01-16,Washington,322.2,6,163.4,647
Mercedes-AMG GT,Pearl White,Diesel,Automatic,143136.62,2023-11-03,2023-11-25,China,309.0,6,145.8,616
Porsche Cayman GT4,Stealth Grey,Diesel,Automatic,108875.6,2024-09-23,2024-12-06,Colorado,247.4,6,159.3,464
Bentley Continental GT,Midnight Silver Metallic,Oil,Automatic,221612.63,2024-10-29,2025-01-01,Massachusetts,289.4,6,162.1,425
Bentley Continental GT,Stealth Grey,Diesel,Automatic,260456.22,2025-04-27,2025-07-10,China,336.1,6,143.3,433
Porsche 911,Red Multi-Coat,Oil,Automatic,187564.57,2024-12-24,2025-01-06,New York,307.0,6,149.1,468
Lamborghini Huracán,Pearl White,Oil,Automatic,244232.35,2023-09-27,2023-10-14,Virginia,338.1,6,159.6,581
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3237129.23,2023-10-10,2023-12-31,Maryland,372.7,6,150.4,640
Koenigsegg Jesko,Pearl White,Oil,Automatic,3239793.23,2024-03-09,2024-05-15,Italy,369.4,6,148.4,462
Alpine A110,Deep Blue Metallic,Diesel,Automatic,66924.16,2025-01-19,2025-03-02,Japan,207.9,6,147.0,531
Jaguar F-Type,Midnight Silver Metallic,Diesel,Automatic,81290.06,2025-01-01,2025-03-27,Nevada,277.3,6,146.6,509
Alpine A110,Ultra Red,Diesel,Automatic,83349.93,2025-02-27,2025-03-03,New York,212.9,6,165.0,468
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,202643.8,2024-07-09,2024-08-14,Virginia,336.7,6,144.6,614
Koenigsegg Jesko,Stealth Grey,Oil,Automatic,3181992.22,2024-03-18,2024-05-19,China,384.6,6,160.5,470
Alpine A110,Stealth Grey,Diesel,Automatic,72298.13,2025-03-12,2025-06-06,Massachusetts,182.0,6,149.6,474
Maserati MC20,Solid Black,Oil,Automatic,256402.32,2023-08-30,2023-09-03,Massachusetts,325.3,6,157.2,569
Maserati MC20,Red Multi-Coat,Diesel,Automatic,235556.7,2025-03-18,2025-04-21,Colorado,356.5,6,153.7,501
McLaren 720S,Pearl White,Diesel,Automatic,304700.53,2023-07-01,2023-08-07,Italy,310.3,6,161.6,640
McLaren 720S,Ultra Red,Oil,Automatic,305727.0,2023-11-12,2023-12-03,Massachusetts,342.7,6,144.5,644
Ferrari SF90,Deep Blue Metallic,Diesel,Automatic,548761.08,2023-09-11,2023-12-01,France,348.6,6,152.7,630
Porsche Cayman GT4,Ultra Red,Diesel,Automatic,105675.51,2025-05-21,2025-08-07,Virginia,275.4,6,156.2,468
Rolls-Royce Ghost,Ultra Red,Oil,Automatic,420710.74,2024-02-02,2024-03-21,Virginia,371.8,6,161.7,447
Aston Martin DBS,Solid Black,Oil,Automatic,361423.52,2023-12-11,2023-12-27,Washington,293.8,6,154.1,493
Lotus Emira,Deep Blue Metallic,Diesel,Automatic,99239.58,2025-02-19,2025-02-23,Washington,255.7,6,152.6,547
Aston Martin DBS,Stealth Grey,Oil,Automatic,343633.76,2024-01-01,2024-03-13,Virginia,328.1,6,169.0,502
Bugatti Chiron,Red Multi-Coat,Oil,Automatic,2663033.92,2023-08-30,2023-09-10,Italy,361.0,6,147.6,516
Bugatti Chiron,Solid Black,Oil,Automatic,3242628.3,2023-06-11,2023-08-08,Italy,365.2,6,154.3,547
Porsche 911,Stealth Grey,Diesel,Automatic,173965.64,2024-08-17,2024-08-26,Maryland,322.3,6,160.0,507
Range Rover Sport,Stealth Grey,Oil,Automatic,128187.57,2023-10-21,2024-01-13,Italy,284.2,6,164.7,573
Ferrari SF90,Solid Black,Oil,Automatic,484081.22,2023-12-19,2024-03-08,Massachusetts,379.5,6,162.6,587
Audi RS e-tron GT,Solid Black,Oil,Automatic,156107.94,2024-08-10,2024-08-21,New Jersey,364.2,6,143.3,619
